BCI-AV#	Blissymbol	English	Char	Char	5350	1497	212	34	4	1
13916		elbow	Y	12577	26059					
13917		electric,electrical		13918	8998					
13918		electricity	Y							
13919		electric_light,lamp		15208	13918	9009				
13920		electric_wheelchair		18233	13918					
13921		electric_wire,electric_cord,cord,cable,lead_(OLD)		15216	13918	9009				
13922		electromagnetic_radiation	Y	13918						
13923		elephant		12378	15732					
13924		elevator,lift		16687	20524					
13925		Elul		15649	12656	16960				
13926		embarrassed		13928	8996					
13927		embarrassing		13928	8998					
13928		embarrassment		13687	20524					
13929		embryo	Y	12870	24443					
13930		emergency		13632	15212					
13931		empathy		14164	25629					
13932		empty_(OLD)		15927	14413	8998				
13933		empty_(OLD)		23863	8993					
13934		enclosure	Y							
13935		end,arrival,stop	Y	14390	15214					
13936		energy	Y	17462	13922					
13937		engaged		12656	15425	8998				
13938		enjoy		14675	8993					
13939		enough		15474	15654	8998				
13940		enter,absorb,insert,penetrate		14952	8993					
13941		envious		18035	8487	13675	14685	8998		
13942		environment	Y	13901	18209	17006				
13943		equal		13943	8993					
13944		erection,erect_penis	Y	16166						
13945		eternal_life,immortality_(after_death)		15206	12348	13645				
13946		etrog	Y							
13947		evaluate		13949	8993					
13948		appreciate,value,treasure		13947	13416	8993				
13949		evaluation,value	Y							
13950		evening	Y	15651	13901					
14113		evening_before_holiday,evening_of_Sabbath		13950	12656	16700				
14114		event,happening,occasion	Y	12639	13901					
14115		ever,whenever		12401	8998					
14116		evergreen_tree,spruce,fir,fir_tree	Y	17775						
14117		everybody,everyone		12360	16161					
14118		exchange,substitute,trade		25555	8993					
14119		ecstatic		14120	8998					
14120		ecstasy		14164						
14121		exclude		15942	8993					
14122		excuse		15196	12348					
14123		excuse		14123	8993					
14124		exercise,work_out		26167	8993					
14125		exhibitionism,immodesty,indecent_exposure		13135	15449	14431				
14126		exit		15943	8993					
14127		expect,anticipate		14128	8993					
14128		expectation,anticipation	Y	15471	25568					
14129		expensive_(OLD)		15671	24842	8998				
14130		explain,give_a_reason		16728	25629	8993				
